"Name", "Stmts", "Miss", "Cover"
"gen_rv64asm/__init__.py", "9", "0", "100%"
"gen_rv64asm/core/__init__.py", "9", "0", "100%"
"gen_rv64asm/core/model/__init__.py", "9", "0", "100%"
"gen_rv64asm/core/model/project_setup.py", "14", "0", "100%"
"gen_rv64asm/core/service/__init__.py", "9", "0", "100%"
"gen_rv64asm/core/service/engine.py", "27", "0", "100%"
"gen_rv64asm/core/service/iservice.py", "14", "0", "100%"
"gen_rv64asm/core/service/isubprocessor.py", "14", "0", "100%"
"gen_rv64asm/engine.py", "57", "0", "100%"
"gen_rv64asm/infrastructure/__init__.py", "9", "0", "100%"
"gen_rv64asm/infrastructure/cli/__init__.py", "9", "0", "100%"
"gen_rv64asm/infrastructure/cli/engine.py", "39", "0", "100%"
"gen_rv64asm/infrastructure/cli/icli.py", "14", "0", "100%"
"gen_rv64asm/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"gen_rv64asm/infrastructure/cli/setup/bundle.py", "22", "0", "100%"
"gen_rv64asm/infrastructure/cli/setup/dep_validator.py", "36", "0", "100%"
"gen_rv64asm/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"gen_rv64asm/infrastructure/cli/setup/factory.py", "35", "0", "100%"
"gen_rv64asm/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"gen_rv64asm/infrastructure/cli/setup/opt_validator.py", "36", "0", "100%"
"gen_rv64asm/infrastructure/cli/setup/options.py", "15", "0", "100%"
"gen_rv64asm/infrastructure/cli/setup/registry.py", "24", "0", "100%"
"gen_rv64asm/infrastructure/cli/setup/validator.py", "43", "0", "100%"
"gen_rv64asm/infrastructure/command/__init__.py", "9", "0", "100%"
"gen_rv64asm/infrastructure/command/command.py", "16", "0", "100%"
"gen_rv64asm/infrastructure/command/gen_rv64asm_command_definition.py", "24", "0", "100%"
"gen_rv64asm/infrastructure/command/gen_rv64asm_command_executor.py", "23", "0", "100%"
"gen_rv64asm/infrastructure/command/icommand_definition.py", "14", "0", "100%"
"gen_rv64asm/infrastructure/command/icommand_executor.py", "14", "0", "100%"
"gen_rv64asm/infrastructure/subprocessor.py", "55", "0", "100%"
"gen_rv64asm/setup/__init__.py", "9", "0", "100%"
"gen_rv64asm/setup/bundle.py", "23", "0", "100%"
"gen_rv64asm/setup/dep_validator.py", "36", "0", "100%"
"gen_rv64asm/setup/dependencies.py", "19", "0", "100%"
"gen_rv64asm/setup/factory.py", "48", "0", "100%"
"gen_rv64asm/setup/keys.py", "27", "0", "100%"
"gen_rv64asm/setup/opt_validator.py", "34", "0", "100%"
"gen_rv64asm/setup/options.py", "12", "0", "100%"
"gen_rv64asm/setup/registry.py", "32", "0", "100%"
"gen_rv64asm/setup/validator.py", "48", "0", "100%"
"Total", "940", "0", "100%"
